City	Country	Latitude	Longitude	Country_ISO3	Pop1950	Pop1955	Pop1960	Pop1965	Pop1970	Pop1975	Pop1980	Pop1985	Pop1990	Pop1995	Pop2000	Pop2005	Pop2010	Pop2015	Pop2020	Pop2025	Pop2050
Lahore	Pakistan	31.54	74.34	PAK	840	1020	1260	1580	1960	2400	2880	3390	3970	4650	5450	6260	6580	7090	8110	9280	10512
Multan	Pakistan	30.2	71.41	PAK	190	250	340	420	500	600	720	830	950	1100	1260	1440	1520	1650	1910	2200	2523
Peshawar	Pakistan	34	71.54	PAK	150	180	210	240	260	350	540	650	770	900	1070	1240	1300	1420	1640	1890	2170
Quetta	Pakistan	30.2	67.01	PAK	80	90	100	120	140	190	270	340	410	500	610	720	770	840	970	1130	1298
Rawalpindi	Pakistan	33.6	73.04	PAK	230	280	330	430	550	670	780	920	1090	1290	1520	1760	1860	2020	2320	2680	3067
Ciudad de Panamá (Panama City)	Panama	9	-79.51	PAN	170	220	280	360	460	530	610	720	850	950	1070	1220	1280	1380	1530	1650	1759
Asunción	Paraguay	-25.3	-57.62	PRY	260	310	380	460	550	650	770	910	1090	1290	1510	1760	1870	2030	2280	2510	2715
Arequipa	Peru	-16.39	-71.52	PER	130	140	160	210	270	350	430	500	560	640	700	780	820	860	930	980	1038
Lima	Peru	-12.08	-77.04	PER	1070	1370	1760	2280	2980	3700	4440	5120	5840	6540	7120	7750	8010	8380	8860	9250	9600
Cebu	Philippines	10.42	123.79	PHL	180	210	250	300	350	420	490	550	610	660	720	790	820	860	960	1060	1153
Davao	Philippines	7.08	125.61	PHL	120	170	230	300	400	490	610	720	850	1000	1150	1320	1400	1520	1730	1910	2065
Manila	Philippines	14.61	120.96	PHL	1540	1870	2270	2830	3530	5000	5960	6890	7970	9400	9960	10760	11100	11660	12790	13890	14808
Zamboanga	Philippines	6.9	122.06	PHL	110	120	130	160	200	210	340	390	440	510	600	720	770	860	990	1100	1192
Kraków	Poland	50.06	19.94	POL	340	400	470	520	580	640	700	720	740	750	760	760	760	760	760	760	755
Lódz	Poland	51.77	19.47	POL	610	660	700	730	760	800	820	830	840	820	800	770	760	740	740	740	735
Warszawa	Poland	52.24	21.01	POL	770	940	1120	1210	1300	1440	1560	1600	1630	1650	1670	1690	1710	1720	1740	1740	1736
Lisboa	Portugal	38.72	-9.12	PRT	1300	1400	1510	1660	1820	2100	2450	2520	2540	2600	2670	2760	2810	2890	3000	3060	3086
Porto	Portugal	41.16	-8.58	PRT	730	780	840	880	920	1010	1100	1140	1160	1210	1250	1310	1340	1380	1440	1480	1497
San Juan	Puerto Rico	18.8	-71.22	PRI	450	520	600	740	920	1070	1240	1380	1540	1860	2240	2600	2690	2760	2800	2800	2803
Bucuresti	Romania	44.43	26.12	ROU	650	860	1000	1150	1400	1700	1860	1950	2040	2020	1950	1940	1940	1950	1950	1950	1949
Chelyabinsk	Russian Federation	55.14	61.39	RUS	570	640	710	790	880	970	1050	1100	1130	1100	1080	1090	1090	1090	1090	1080	1085
Kazan	Russian Federation	55.73	49.14	RUS	510	590	670	770	880	940	1010	1060	1090	1090	1100	1110	1120	1120	1120	1120	1122
Krasnoyarsk	Russian Federation	56.01	92.83	RUS	290	360	440	540	660	730	810	870	910	910	910	920	920	930	930	940	935
Moskva	Russian Federation	55.74	37.7	RUS	5360	5750	6170	6620	7110	7620	8140	8580	8990	9200	10020	10420	10450	10500	10520	10530	10526
Nizhniy Novgorod	Russian Federation	58.54	31.27	RUS	800	880	970	1070	1180	1270	1360	1400	1420	1380	1330	1290	1280	1270	1260	1260	1262
Novosibirsk	Russian Federation	55.03	82.94	RUS	720	810	920	1040	1170	1250	1330	1390	1430	1430	1430	1400	1390	1380	1370	1370	1366
Omsk	Russian Federation	55.06	73.25	RUS	440	520	610	710	830	930	1030	1100	1140	1140	1140	1140	1140	1130	1120	1120	1125
Perm	Russian Federation	58	56.23	RUS	500	570	660	750	860	940	1010	1050	1080	1040	1010	990	1000	1000	1010	1010	1007
Rostov-na-Donu	Russian Federation	47.23	39.68	RUS	480	550	620	700	800	870	950	990	1020	1040	1060	1060	1050	1050	1040	1040	1044
Samara	Russian Federation	53.23	50.16	RUS	660	740	840	940	1060	1150	1220	1240	1240	1210	1170	1150	1140	1130	1120	1120	1119
Sankt Peterburg	Russian Federation	59.91	30.24	RUS	2900	3140	3400	3680	3980	4320	4640	4840	4990	4840	4730	4590	4550	4510	4480	4480	4476
Saratov	Russian Federation	51.49	45.95	RUS	470	530	600	680	760	820	860	890	900	890	880	850	840	830	820	820	822
Ufa	Russian Federation	54.82	56.09	RUS	420	490	570	670	780	890	980	1040	1080	1060	1050	1030	1020	1000	990	990	986
Volgograd	Russian Federation	48.7	44.48	RUS	460	530	620	720	820	880	940	970	1000	1000	1010	990	980	970	970	960	965
Voronezh	Russian Federation	51.71	39.26	RUS	330	400	470	560	670	730	800	850	880	870	850	850	840	840	840	840	838
Yekaterinburg	Russian Federation	56.83	60.58	RUS	630	710	810	920	1040	1140	1230	1300	1350	1330	1300	1310	1310	1320	1320	1320	1324
Kigali	Rwanda	-1.95	30.05	RWA	20	20	30	40	60	90	130	170	220	290	500	780	860	950	1150	1410	1715
La Paz	Bolivia	-16.5	-68.15	BOL	320	370	440	510	600	700	810	930	1060	1270	1390	1530	1590	1690	1860	2030	2178
Santa Cruz	Bolivia	-17.78	-63.19	BOL	40	60	80	120	170	230	320	450	620	830	1050	1320	1420	1550	1720	1880	2016
Ad-Dammam	Saudi Arabia	26.33	50.08	SAU	20	30	40	50	80	140	200	280	410	530	640	770	820	900	1020	1120	1212
Al-Madinah	Saudi Arabia	24.42	39.69	SAU	50	50	60	80	130	210	280	390	530	670	800	940	1010	1100	1240	1360	1474
Ar-Riyadh	Saudi Arabia	24.65	46.77	SAU	110	130	160	230	410	710	1060	1570	2320	3040	3570	4190	4460	4860	5400	5870	6275
Jiddah	Saudi Arabia	21.54	39.17	SAU	120	130	140	200	350	590	850	1220	1740	2200	2510	2860	3010	3240	3590	3910	4190
Makkah	Saudi Arabia	21.42	39.81	SAU	150	150	160	190	270	380	500	660	860	1030	1170	1320	1380	1490	1650	1810	1948
Dakar	Senegal	14.68	-17.45	SEN	210	240	360	470	610	780	960	1160	1400	1690	2030	2430	2600	2860	3280	3730	4225
Beograd	Serbia	44.79	20.41	SRB	410	500	580	650	730	870	1060	1120	1160	1150	1130	1110	1100	1100	1110	1130	1163
Freetown	Sierra Leone	8.48	-13.23	SLE	90	100	120	150	210	280	360	460	530	600	690	780	830	890	1030	1200	1406
Singapore	Singapore	1.26	103.83	SGP	1020	1310	1630	1880	2080	2260	2420	2710	3020	3480	4020	4330	4440	4590	4810	4960	5104
Hà Noi	Viet Nam	21.03	105.82	VNM	280	420	640	920	1310	1880	2610	2850	3130	3420	3750	4170	4380	4720	5360	6040	6754
Hai Phòng	Viet Nam	20.86	106.67	VNM	170	250	370	510	700	970	1290	1380	1470	1580	1700	1880	1970	2130	2430	2750	3096
Thành Pho Ho Chí Minh	Viet Nam	10.75	106.66	VNM	1210	1300	1400	1760	2230	2810	3460	3720	4000	4300	4620	5070	5310	5720	6480	7290	8149
Muqdisho	Somalia	2.04	45.34	SOM	70	70	90	150	270	440	550	750	1040	1150	1200	1420	1100	1500	1790	2140	2529
Cape Town	South Africa	-33.97	18.48	ZAF	620	700	800	940	1110	1340	1610	1920	2160	2390	2720	3090	3220	3360	3500	3630	3744
Durban	South Africa	-29.83	30.94	ZAF	480	570	680	760	860	1020	1210	1450	1720	2080	2370	2640	2730	2840	2960	3070	3173
Ekurhuleni	South Africa	-26.17	28.22	ZAF	550	610	680	780	900	1000	1110	1240	1530	1890	2330	2820	2990	3160	3310	3430	3539
Johannesburg	South Africa	-26.17	28	ZAF	900	1020	1150	1290	1440	1550	1660	1770	1900	2260	2730	3260	3440	3620	3780	3920	4041
Port Elizabeth	South Africa	-33.88	25.48	ZAF	190	240	290	370	480	530	590	660	830	910	960	1000	1020	1050	1100	1150	1197
Pretoria	South Africa	-25.73	28.21	ZAF	280	340	420	490	560	620	690	760	910	950	1080	1270	1340	1410	1480	1540	1604
Vereeniging	South Africa	-26.67	27.93	ZAF	120	150	190	240	310	370	450	550	740	800	900	1030	1070	1130	1180	1240	1286
Harare	Zimbabwe	-17.82	31.02	ZWE	140	190	250	320	420	530	620	780	1050	1260	1380	1520	1570	1660	1840	2040	2247
Barcelona	Spain	41.38	2.18	ESP	1810	2100	2470	2930	3480	3680	3840	3970	4100	4320	4560	4820	4920	5060	5170	5180	5183
Madrid	Spain	40.44	-3.69	ESP	1700	2020	2390	2900	3520	3890	4250	4360	4410	4700	5040	5410	5570	5760	5920	5930	5935
Valencia	Spain	39.47	-0.36	ESP	510	510	500	570	640	700	740	760	780	780	800	800	810	820	830	840	847
Al-Khartum	Sudan	15.55	32.52	SDN	180	250	350	480	660	890	1160	1610	2360	3240	3950	4520	4750	5180	6080	7020	7937
Stockholm	Sweden	59.33	17.99	SWE	740	770	800	1000	1040	1020	990	1010	1040	1140	1210	1250	1260	1280	1310	1330	1343
Zürich	Switzerland	47.4	8.53	CHE	490	510	540	610	710	710	710	840	1010	1050	1080	1100	1110	1120	1130	1150	1172
Baixada Santista	Brazil	-23.95	-46.36	BRA	250	310	400	500	620	770	950	1060	1180	1320	1470	1640	1710	1810	1940	2030	2095
Belém	Brazil	-1.43	-48.49	BRA	240	300	380	480	600	710	830	970	1130	1390	1750	2040	2170	2340	2520	2640	2717
Belo Horizonte	Brazil	-19.85	-43.9	BRA	410	570	780	1080	1480	1910	2440	2950	3550	4090	4660	5300	5580	5940	6360	6600	6748
Brasília	Brazil	-15.79	-47.89	BRA	40	70	140	270	520	830	1290	1560	1860	2260	2750	3340	3600	3940	4280	4460	4578
Campinas	Brazil	-22.9	-47.05	BRA	150	210	290	400	540	770	1110	1370	1690	1980	2260	2630	2790	3000	3240	3380	3474
Campo Grande	Brazil	-20.45	-54.61	BRA	30	40	60	90	130	190	280	370	490	570	650	740	780	830	900	940	978
Cuiabá	Brazil	-15.61	-56.09	BRA	30	40	50	70	100	160	260	370	510	610	690	770	810	860	920	970	1008
Curitiba	Brazil	-25.43	-49.28	BRA	160	240	380	500	650	920	1310	1550	1830	2140	2490	2910	3080	3320	3580	3740	3836
Florianópolis	Brazil	-27.57	-48.61	BRA	70	80	100	120	150	220	330	410	500	610	730	930	1020	1140	1260	1330	1374
Fortaleza	Brazil	-3.78	-38.58	BRA	260	360	500	660	870	1140	1490	1820	2230	2550	2880	3240	3390	3600	3850	4010	4117
Goiânia	Brazil	-16.72	-49.25	BRA	50	90	150	240	380	530	740	920	1130	1360	1610	1900	2020	2190	2370	2480	2556
Grande São Luís	Brazil	-2.51	-44.3	BRA	120	140	160	200	260	340	440	550	670	780	880	990	1040	1110	1190	1250	1296
Grande Vitória	Brazil	-20.3	-40.35	BRA	80	120	170	240	340	490	720	870	1050	1220	1400	1610	1700	1830	1980	2070	2132
João Pessoa	Brazil	-7.12	-34.86	BRA	120	150	180	230	290	360	450	540	650	740	830	920	960	1010	1090	1140	1183
Maceió	Brazil	-9.67	-35.74	BRA	120	150	180	220	280	340	420	530	660	800	950	1120	1190	1280	1390	1460	1510
Manaus	Brazil	-3.12	-60.01	BRA	90	120	150	210	280	410	600	760	960	1160	1390	1640	1750	1900	2060	2160	2223
Natal	Brazil	-5.8	-35.21	BRA	110	140	180	220	290	370	470	570	690	800	910	1040	1090	1160	1250	1320	1362
Norte/Nordeste Catarinense	Brazil	-26.32	-48.84	BRA	60	90	120	150	200	280	380	480	600	710	820	940	990	1060	1150	1200	1247
Pôrto Alegre	Brazil	-30.04	-51.2	BRA	490	660	880	1110	1400	1730	2130	2500	2930	3240	3500	3800	3920	4100	4340	4520	4633
Recife	Brazil	-8.08	-34.91	BRA	660	840	1070	1330	1640	1870	2120	2390	2690	2960	3230	3530	3650	3830	4070	4240	4347
Rio de Janeiro	Brazil	-22.72	-43.45	BRA	2950	3590	4370	5390	6640	7560	8580	9090	9600	10170	10800	11470	11750	12170	12780	13180	13413
Salvador	Brazil	-12.99	-38.48	BRA	400	520	670	850	1070	1340	1680	1980	2330	2640	2970	3330	3480	3700	3950	4110	4222
São Paulo	Brazil	-23.58	-46.62	BRA	2330	3040	3970	5490	7620	9610	12090	13400	14780	15950	17100	18330	18840	19580	20540	21120	21428
Teresina	Brazil	-5.1	-42.8	BRA	50	80	100	140	200	280	390	490	610	710	790	870	910	960	1030	1080	1121
Dimashq	Syrian Arab Republic	33.49	36.29	SYR	370	460	580	730	910	1120	1380	1550	1690	1850	2040	2330	2470	2680	2980	3290	3605
Halab	Syrian Arab Republic	36.21	37.15	SYR	320	390	480	590	720	880	1070	1290	1550	1870	2220	2580	2740	2970	3310	3650	3993
Hims	Syrian Arab Republic	34.73	36.71	SYR	100	130	160	200	250	310	390	470	560	680	810	950	1000	1100	1230	1360	1504
Krung Thep	Thailand	13.75	100.51	THA	1360	1710	2150	2580	3110	3840	4720	5280	5890	6110	6330	6580	6700	6920	7330	7810	8332
Lomé	Togo	6.1	1.2	TGO	30	60	100	140	190	260	340	470	620	800	1020	1320	1450	1670	2040	2410	2791
Dubayy	United Arab Emirates	25.27	55.32	ARE	20	30	40	50	80	170	250	340	470	650	940	1270	1380	1520	1710	1890	2077
Adana	Turkey	37	35.32	TUR	140	200	270	340	400	470	570	760	910	1010	1120	1240	1290	1360	1470	1560	1635
Ankara	Turkey	39.92	32.85	TUR	280	440	640	950	1340	1710	1890	2210	2560	2840	3180	3570	3720	3910	4180	4400	4589
Antalya	Turkey	36.89	30.7	TUR	30	40	50	70	100	130	180	260	370	470	600	740	780	840	910	970	1021
Bursa	Turkey	40.19	29.07	TUR	150	180	220	300	320	340	480	600	820	980	1180	1410	1490	1590	1710	1820	1906
Gaziantep	Turkey	37.04	37.3	TUR	100	140	180	230	260	300	370	470	600	710	840	990	1040	1110	1200	1270	1340
Istanbul	Turkey	41.06	29	TUR	970	1250	1450	2000	2770	3600	4400	5410	6550	7660	8740	9710	10060	10530	11180	11700	12102
Izmir	Turkey	38.43	27.14	TUR	220	290	360	560	880	1050	1220	1470	1740	1970	2220	2490	2590	2720	2920	3080	3223
Konya	Turkey	37.87	32.48	TUR	100	140	180	240	240	250	340	430	510	610	730	870	920	980	1060	1130	1185
Kampala	Uganda	0.32	32.57	UGA	100	110	140	220	340	400	470	600	760	910	1100	1320	1420	1600	1980	2510	3198
Dnipropetrovs'k	Ukraine	48.42	35.13	UKR	540	610	680	770	870	980	1080	1140	1160	1120	1080	1060	1050	1040	1040	1040	1042
Donets'k	Ukraine	48.04	37.73	UKR	580	650	720	800	890	960	1030	1080	1100	1060	1030	1000	990	980	970	970	972
Kharkiv	Ukraine	49.98	36.2	UKR	760	860	970	1090	1230	1350	1470	1540	1590	1530	1480	1460	1460	1460	1460	1460	1455
Kyiv	Ukraine	50.44	30.5	UKR	820	970	1160	1390	1660	1930	2200	2410	2570	2590	2610	2670	2710	2750	2770	2770	2772
Odesa	Ukraine	46.46	30.73	UKR	530	610	690	790	900	980	1050	1080	1090	1060	1040	1000	990	980	970	970	970
Zaporizhzhya	Ukraine	47.85	35.15	UKR	320	380	460	550	660	730	800	840	870	850	820	800	790	780	770	770	772
Al-Iskandariyah	Egypt	31.2	29.9	EGY	1040	1250	1500	1750	1990	2240	2520	2830	3060	3280	3600	4000	4160	4420	4820	5210	5652
Al-Qahirah	Egypt	30.07	31.25	EGY	2490	3030	3680	4740	5580	6450	7350	8330	9060	9710	10530	11490	11890	12500	13460	14450	15561
Birmingham	United Kingdom	52.49	-1.86	GBR	2230	2280	2340	2360	2370	2360	2360	2330	2300	2290	2280	2280	2280	2290	2300	2320	2323
Glasgow	United Kingdom	55.86	-4.26	GBR	1760	1780	1800	1770	1730	1600	1460	1330	1220	1190	1170	1160	1160	1160	1180	1190	1197
Liverpool	United Kingdom	53.42	-2.97	GBR	1380	1380	1380	1330	1280	1020	780	790	830	830	820	810	810	820	820	840	845
London	United Kingdom	51.48	-0.17	GBR	8360	8280	8200	7870	7510	7550	7660	7670	7650	7910	8220	8500	8570	8610	8620	8620	8618
Manchester	United Kingdom	53.47	-2.26	GBR	2420	2420	2430	2410	2400	2370	2340	2310	2280	2260	2240	2230	2230	2240	2250	2260	2267
Newcastle upon Tyne	United Kingdom	54.96	-1.6	GBR	910	920	930	910	890	840	790	820	880	880	880	880	880	890	900	910	918
West Yorkshire	United Kingdom	53.79	-1.54	GBR	1690	1700	1700	1710	1730	1620	1500	1460	1450	1470	1500	1520	1530	1540	1550	1560	1575
Dar es Salaam	United Republic of Tanzania	-6.81	39.25	TZA	70	110	160	230	360	570	840	1050	1320	1670	2120	2680	2930	3320	4020	4800	5688
Atlanta	United States of America	33.79	-84.34	USA	510	630	780	960	1180	1390	1620	1880	2180	2780	3540	4310	4510	4700	4890	5040	5151
Austin	United States of America	30.27	-97.73	USA	140	160	190	220	270	320	380	470	570	720	910	1110	1160	1220	1280	1330	1372
Baltimore	United States of America	39.32	-76.61	USA	1170	1290	1420	1490	1560	1650	1750	1800	1850	1960	2080	2210	2260	2320	2420	2510	2578
Boston	United States of America	42.37	-71.1	USA	2550	2680	2820	3000	3190	3230	3280	3350	3430	3730	4050	4360	4470	4600	4770	4920	5032
Bridgeport-Stamford	United States of America	41.18	-73.19	USA	420	510	620	660	700	700	700	710	710	800	890	990	1020	1060	1110	1150	1193
Buffalo	United States of America	42.89	-78.84	USA	900	980	1060	1070	1080	1040	1000	980	960	970	980	1000	1020	1050	1100	1140	1180
Charlotte	United States of America	35.2	-80.83	USA	140	170	210	240	280	320	350	400	460	600	770	950	1000	1040	1100	1140	1183
Chicago	United States of America	41.82	-87.64	USA	5000	5560	6180	6640	7110	7160	7220	7280	7370	7840	8330	8820	8990	9210	9520	9760	9932
Cincinnati	United States of America	39.14	-84.47	USA	880	980	1090	1140	1200	1220	1230	1280	1340	1420	1510	1600	1640	1690	1760	1830	1886
Cleveland	United States of America	41.39	-81.72	USA	1390	1580	1790	1880	1950	1850	1750	1710	1680	1730	1790	1860	1890	1940	2030	2100	2165
"Columbus, Ohio"	United States of America	40.04	-82.99	USA	440	520	620	700	790	810	840	890	950	1040	1140	1240	1270	1310	1380	1430	1477
Dallas-Fort Worth	United States of America	32.76	-96.66	USA	870	1120	1450	1720	2020	2230	2470	2820	3220	3660	4170	4660	4800	4960	5150	5300	5419
Dayton	United States of America	39.75	-84.19	USA	350	420	510	590	680	640	600	600	620	660	710	750	770	800	840	880	909
Denver-Aurora	United States of America	39.57	-105.07	USA	500	640	810	920	1050	1200	1360	1440	1530	1750	2000	2240	2310	2400	2500	2590	2661
Detroit	United States of America	42.39	-83.07	USA	2770	3140	3550	3760	3970	3880	3810	3750	3700	3800	3910	4040	4100	4200	4360	4500	4606
El Paso	United States of America	31.77	-106.45	USA	140	200	280	310	340	390	460	510	570	620	680	730	750	780	820	860	886
Hartford	United States of America	41.76	-72.7	USA	420	450	480	570	670	700	730	760	780	820	850	890	910	940	990	1030	1066
Honolulu	United States of America	21.32	-157.86	USA	250	300	350	400	440	510	580	610	640	680	720	770	790	810	850	890	923
Houston	United States of America	29.77	-95.4	USA	710	900	1150	1400	1690	2030	2420	2660	2920	3350	3850	4320	4460	4610	4790	4940	5049
Indianapolis	United States of America	39.81	-86.13	USA	500	570	640	730	820	830	840	880	920	1060	1230	1390	1440	1490	1560	1620	1673
"Jacksonville, Florida"	United States of America	30.33	-81.65	USA	250	300	380	450	530	560	600	670	740	810	890	960	990	1020	1070	1120	1157
Kansas City	United States of America	38.99	-94.62	USA	700	810	920	1000	1090	1080	1080	1150	1230	1300	1360	1440	1470	1510	1580	1640	1696
Las Vegas	United States of America	36.17	-115.13	USA	40	60	90	150	240	320	440	560	710	970	1340	1720	1820	1920	2010	2080	2146
Los Angeles-Long Beach-Santa Ana	United States of America	34	-118.25	USA	4050	5150	6530	7410	8380	8930	9510	10180	10880	11340	11810	12310	12500	12770	13160	13460	13672
Louisville	United States of America	38.25	-85.76	USA	480	540	610	670	740	750	760	760	760	810	870	920	950	980	1030	1070	1108
Memphis	United States of America	35.11	-90	USA	410	470	550	600	670	720	780	800	830	900	980	1050	1080	1120	1170	1220	1262
Miami	United States of America	25.83	-80.27	USA	620	920	1360	1710	2140	2590	3120	3520	3970	4430	4950	5440	5580	5760	5970	6140	6272
Milwaukee	United States of America	43.06	-87.99	USA	840	980	1150	1200	1250	1230	1210	1220	1230	1270	1310	1360	1390	1430	1500	1550	1602
Minneapolis-St. Paul	United States of America	44.92	-93.3	USA	1000	1180	1380	1540	1710	1750	1790	1940	2090	2240	2400	2560	2620	2700	2810	2900	2983
Nashville-Davidson	United States of America	36.14	-86.81	USA	260	300	350	400	450	480	520	550	580	660	760	850	880	910	960	1000	1034
New Orleans	United States of America	29.95	-90.09	USA	660	750	850	900	960	1020	1080	1060	1040	1020	1010	1000	780	980	980	1000	1037
New York-Newark	United States of America	40.7	-73.9	USA	12340	13220	14160	15180	16190	15880	15600	15830	16090	16940	17850	18730	19040	19440	19970	20370	20628
Oklahoma City	United States of America	35.48	-97.53	USA	280	350	430	480	530	570	620	660	710	730	750	770	790	810	850	890	922
Orlando	United States of America	28.54	-81.37	USA	80	120	200	250	310	430	580	720	890	1020	1160	1310	1350	1400	1470	1530	1574
Philadelphia	United States of America	39.92	-75.21	USA	3130	3510	3930	4160	4400	4470	4540	4630	4720	4940	5160	5400	5490	5630	5840	6000	6133
Phoenix-Mesa	United States of America	33.5	-112.11	USA	220	350	560	700	870	1120	1420	1700	2020	2440	2930	3420	3550	3690	3840	3960	4062
Pittsburgh	United States of America	40.49	-79.99	USA	1540	1670	1800	1830	1840	1830	1810	1740	1680	1720	1760	1810	1840	1890	1970	2040	2105
Portland	United States of America	45.44	-122.64	USA	520	580	660	740	830	920	1030	1100	1180	1370	1600	1810	1880	1950	2040	2110	2172
Providence	United States of America	41.81	-71.42	USA	700	740	790	860	940	960	990	1020	1050	1110	1180	1250	1280	1320	1380	1440	1481
Richmond	United States of America	37.56	-77.47	USA	260	300	340	420	520	560	600	650	700	760	820	890	910	940	990	1030	1069
Riverside-San Bernardino	United States of America	34.12	-117.29	USA	140	230	380	470	590	640	710	920	1180	1340	1520	1690	1740	1810	1890	1960	2021
Rochester	United States of America	43.21	-77.63	USA	410	450	500	550	600	600	610	610	620	660	700	740	760	780	820	860	887
Sacramento	United States of America	38.56	-121.42	USA	220	320	460	540	640	710	800	940	1100	1240	1400	1560	1600	1660	1740	1800	1860
Salt Lake City	United States of America	40.69	-111.89	USA	230	280	350	410	480	570	680	730	790	840	890	940	970	1000	1050	1090	1128
San Antonio	United States of America	29.42	-98.52	USA	450	540	640	710	780	860	950	1040	1130	1230	1330	1440	1470	1520	1590	1660	1706
San Diego	United States of America	32.76	-117.12	USA	440	610	840	1010	1210	1440	1720	2020	2360	2510	2680	2850	2920	3000	3130	3230	3315
San Francisco-Oakland	United States of America	37.79	-122.38	USA	1860	2020	2200	2360	2530	2590	2660	2800	2960	3100	3240	3390	3450	3540	3680	3800	3898
San Jose	United States of America	37.3	-121.84	USA	180	340	610	790	1010	1100	1200	1290	1380	1460	1540	1630	1670	1720	1800	1860	1921
Seattle	United States of America	47.58	-122.31	USA	800	930	1090	1300	1560	1660	1780	1980	2210	2450	2730	2990	3070	3170	3300	3420	3503
St. Louis	United States of America	38.63	-90.34	USA	1410	1540	1670	1780	1880	1860	1850	1900	1950	2010	2080	2160	2200	2260	2360	2440	2510
Tampa-St. Petersburg	United States of America	27.99	-82.59	USA	300	440	630	740	870	1090	1360	1530	1720	1890	2070	2250	2310	2390	2490	2580	2652
Tucson	United States of America	32.22	-110.92	USA	80	130	230	260	300	370	450	510	580	650	720	800	820	850	900	940	969
Virginia Beach	United States of America	36.83	-76.08	USA	390	530	720	820	930	1000	1070	1170	1290	1340	1400	1460	1490	1540	1610	1670	1719
"Washington, D.C."	United States of America	38.89	-76.95	USA	1300	1540	1820	2140	2490	2630	2780	3060	3380	3650	3950	4240	4340	4460	4640	4780	4889
Ouagadougou	Burkina Faso	12.48	-1.67	BFA	30	50	60	80	110	150	260	420	540	670	830	1040	1150	1320	1680	2110	2632
Montevideo	Uruguay	-34.92	-56.16	URY	1210	1250	1280	1320	1360	1400	1450	1510	1550	1580	1560	1520	1510	1500	1510	1520	1520
Tashkent	Uzbekistan	41.24	69.34	UZB	760	840	960	1160	1400	1610	1820	1960	2100	2120	2140	2160	2180	2250	2420	2640	2892
Barquisimeto	Venezuela (Bolivarian Republic of)	10.06	-69.33	VEN	130	170	240	300	380	480	580	670	740	840	950	1070	1120	1180	1280	1360	1420
Caracas	Venezuela (Bolivarian Republic of)	10.49	-66.89	VEN	690	960	1320	1660	2060	2340	2580	2690	2770	2820	2860	2930	2980	3100	3310	3480	3619
Maracaibo	Venezuela (Bolivarian Republic of)	10.64	-71.63	VEN	280	370	480	570	670	790	920	1100	1300	1500	1720	1980	2070	2200	2370	2500	2606
Maracay	Venezuela (Bolivarian Republic of)	10.24	-67.59	VEN	60	80	110	160	250	340	460	590	760	830	900	970	1010	1060	1140	1210	1271
Valencia	Venezuela (Bolivarian Republic of)	10.17	-68	VEN	130	160	210	300	410	550	710	870	1050	1180	1370	1660	1770	1900	2060	2170	2266
Al-Hudaydah	Yemen	14.79	42.94	YEM	30	30	40	60	70	90	120	150	210	310	460	670	780	950	1230	1530	1854
Sana'a'	Yemen	15.36	44.2	YEM	50	60	70	90	110	140	240	400	650	1030	1360	1800	2010	2340	2960	3640	4382
Ta'izz	Yemen	13.57	44.01	YEM	20	30	40	50	60	90	120	170	230	330	460	660	750	900	1160	1440	1743
Lusaka	Zambia	-15.42	28.17	ZMB	30	50	90	160	280	380	530	640	760	900	1070	1260	1330	1420	1590	1800	2047
